_id,co_reg_geo,no_reg_geo,ano,variavel,saude_categoria,saude_subcategoria,valor
58,1.0,Norte,2010,Profissionais de Saúde,Anestesista,Total,761.0
59,1.0,Norte,2010,Profissionais de Saúde,Assistente Social,Total,1360.0
60,1.0,Norte,2010,Profissionais de Saúde,Bioquímico/farmacêutico,Total,2409.0
61,1.0,Norte,2010,Profissionais de Saúde,Cirurgião Geral,Total,1250.0
62,1.0,Norte,2010,Profissionais de Saúde,Clínico Geral,Total,4079.0
63,1.0,Norte,2010,Profissionais de Saúde,Enfermeiro,Total,8158.0
64,1.0,Norte,2010,Profissionais de Saúde,Fisioterapeuta,Total,1802.0
65,1.0,Norte,2010,Profissionais de Saúde,Fonoaudiólogo,Total,606.0
66,1.0,Norte,2010,Profissionais de Saúde,Gineco Obstetra,Total,745.0
67,1.0,Norte,2010,Profissionais de Saúde,Médico de Família,Total,1301.0
68,1.0,Norte,2010,Profissionais de Saúde,Nutricionista,Total,761.0
69,1.0,Norte,2010,Profissionais de Saúde,Odontólogo,Total,4827.0
70,1.0,Norte,2010,Profissionais de Saúde,Outras especialidades médicas,Total,3129.0
71,1.0,Norte,2010,Profissionais de Saúde,Outras ocupações de nível superior relac à Saúde,Total,1413.0
72,1.0,Norte,2010,Profissionais de Saúde,Pediatra,Total,904.0
73,1.0,Norte,2010,Profissionais de Saúde,Psicólogo,Total,1259.0
74,1.0,Norte,2010,Profissionais de Saúde,Psiquiatra,Total,110.0
75,1.0,Norte,2010,Profissionais de Saúde,Radiologista,Total,340.0
76,1.0,Norte,2010,Profissionais de Saúde,Sanitarista,Total,11.0
77,1.0,Norte,2011,Profissionais de Saúde,Anestesista,Total,0.0
78,1.0,Norte,2011,Profissionais de Saúde,Assistente Social,Total,1505.0
79,1.0,Norte,2011,Profissionais de Saúde,Bioquímico/farmacêutico,Total,2491.0
80,1.0,Norte,2011,Profissionais de Saúde,Cirurgião Geral,Total,455.0
81,1.0,Norte,2011,Profissionais de Saúde,Clínico Geral,Total,4004.0
82,1.0,Norte,2011,Profissionais de Saúde,Enfermeiro,Total,8779.0
83,1.0,Norte,2011,Profissionais de Saúde,Fisioterapeuta,Total,2026.0
84,1.0,Norte,2011,Profissionais de Saúde,Fonoaudiólogo,Total,663.0
85,1.0,Norte,2011,Profissionais de Saúde,Gineco Obstetra,Total,791.0
86,1.0,Norte,2011,Profissionais de Saúde,Médico de Família,Total,1221.0
87,1.0,Norte,2011,Profissionais de Saúde,Nutricionista,Total,831.0
88,1.0,Norte,2011,Profissionais de Saúde,Odontólogo,Total,5158.0
89,1.0,Norte,2011,Profissionais de Saúde,Outras especialidades médicas,Total,3544.0
90,1.0,Norte,2011,Profissionais de Saúde,Outras ocupações de nível superior relac à Saúde,Total,1591.0
91,1.0,Norte,2011,Profissionais de Saúde,Pediatra,Total,1606.0
92,1.0,Norte,2011,Profissionais de Saúde,Psicólogo,Total,1385.0
93,1.0,Norte,2011,Profissionais de Saúde,Psiquiatra,Total,125.0
94,1.0,Norte,2011,Profissionais de Saúde,Radiologista,Total,280.0
95,1.0,Norte,2011,Profissionais de Saúde,Sanitarista,Total,10.0
96,1.0,Norte,2012,Profissionais de Saúde,Anestesista,Total,0.0
97,1.0,Norte,2012,Profissionais de Saúde,Assistente Social,Total,1653.0
98,1.0,Norte,2012,Profissionais de Saúde,Bioquímico/farmacêutico,Total,2676.0
99,1.0,Norte,2012,Profissionais de Saúde,Cirurgião Geral,Total,452.0
100,1.0,Norte,2012,Profissionais de Saúde,Clínico Geral,Total,4311.0
101,1.0,Norte,2012,Profissionais de Saúde,Enfermeiro,Total,9775.0
102,1.0,Norte,2012,Profissionais de Saúde,Fisioterapeuta,Total,2296.0
103,1.0,Norte,2012,Profissionais de Saúde,Fonoaudiólogo,Total,728.0
104,1.0,Norte,2012,Profissionais de Saúde,Gineco Obstetra,Total,795.0
105,1.0,Norte,2012,Profissionais de Saúde,Médico de Família,Total,1194.0
106,1.0,Norte,2012,Profissionais de Saúde,Nutricionista,Total,922.0
107,1.0,Norte,2012,Profissionais de Saúde,Odontólogo,Total,5485.0
108,1.0,Norte,2012,Profissionais de Saúde,Outras especialidades médicas,Total,3691.0
109,1.0,Norte,2012,Profissionais de Saúde,Outras ocupações de nível superior relac à Saúde,Total,1687.0
110,1.0,Norte,2012,Profissionais de Saúde,Pediatra,Total,1662.0
111,1.0,Norte,2012,Profissionais de Saúde,Psicólogo,Total,1531.0
112,1.0,Norte,2012,Profissionais de Saúde,Psiquiatra,Total,137.0
113,1.0,Norte,2012,Profissionais de Saúde,Radiologista,Total,298.0
114,1.0,Norte,2012,Profissionais de Saúde,Sanitarista,Total,11.0
115,1.0,Norte,2013,Profissionais de Saúde,Anestesista,Total,0.0
116,1.0,Norte,2013,Profissionais de Saúde,Assistente Social,Total,1946.0
117,1.0,Norte,2013,Profissionais de Saúde,Bioquímico/farmacêutico,Total,1296.0
118,1.0,Norte,2013,Profissionais de Saúde,Cirurgião Geral,Total,482.0
119,1.0,Norte,2013,Profissionais de Saúde,Clínico Geral,Total,4678.0
120,1.0,Norte,2013,Profissionais de Saúde,Enfermeiro,Total,10992.0
121,1.0,Norte,2013,Profissionais de Saúde,Fisioterapeuta,Total,2607.0
122,1.0,Norte,2013,Profissionais de Saúde,Fonoaudiólogo,Total,787.0
123,1.0,Norte,2013,Profissionais de Saúde,Gineco Obstetra,Total,808.0
124,1.0,Norte,2013,Profissionais de Saúde,Médico de Família,Total,1733.0
125,1.0,Norte,2013,Profissionais de Saúde,Nutricionista,Total,1056.0
126,1.0,Norte,2013,Profissionais de Saúde,Odontólogo,Total,5869.0
127,1.0,Norte,2013,Profissionais de Saúde,Outras especialidades médicas,Total,4020.0
128,1.0,Norte,2013,Profissionais de Saúde,Outras ocupações de nível superior relac à Saúde,Total,1825.0
129,1.0,Norte,2013,Profissionais de Saúde,Pediatra,Total,1679.0
130,1.0,Norte,2013,Profissionais de Saúde,Psicólogo,Total,1736.0
131,1.0,Norte,2013,Profissionais de Saúde,Psiquiatra,Total,148.0
132,1.0,Norte,2013,Profissionais de Saúde,Radiologista,Total,328.0
133,1.0,Norte,2013,Profissionais de Saúde,Sanitarista,Total,10.0
134,1.0,Norte,2014,Profissionais de Saúde,Anestesista,Total,0.0
135,1.0,Norte,2014,Profissionais de Saúde,Assistente Social,Total,2215.0
136,1.0,Norte,2014,Profissionais de Saúde,Bioquímico/farmacêutico,Total,1593.0
137,1.0,Norte,2014,Profissionais de Saúde,Cirurgião Geral,Total,506.0
138,1.0,Norte,2014,Profissionais de Saúde,Clínico Geral,Total,5023.0
139,1.0,Norte,2014,Profissionais de Saúde,Enfermeiro,Total,12661.0
140,1.0,Norte,2014,Profissionais de Saúde,Fisioterapeuta,Total,2898.0
141,1.0,Norte,2014,Profissionais de Saúde,Fonoaudiólogo,Total,852.0
142,1.0,Norte,2014,Profissionais de Saúde,Gineco Obstetra,Total,829.0
143,1.0,Norte,2014,Profissionais de Saúde,Médico de Família,Total,2474.0
144,1.0,Norte,2014,Profissionais de Saúde,Nutricionista,Total,1167.0
145,1.0,Norte,2014,Profissionais de Saúde,Odontólogo,Total,6239.0
146,1.0,Norte,2014,Profissionais de Saúde,Outras especialidades médicas,Total,4419.0
147,1.0,Norte,2014,Profissionais de Saúde,Outras ocupações de nível superior relac à Saúde,Total,2036.0
148,1.0,Norte,2014,Profissionais de Saúde,Pediatra,Total,1737.0
149,1.0,Norte,2014,Profissionais de Saúde,Psicólogo,Total,1959.0
150,1.0,Norte,2014,Profissionais de Saúde,Psiquiatra,Total,149.0
151,1.0,Norte,2014,Profissionais de Saúde,Radiologista,Total,345.0
152,1.0,Norte,2014,Profissionais de Saúde,Sanitarista,Total,9.0
153,1.0,Norte,2015,Profissionais de Saúde,Anestesista,Total,0.0
154,1.0,Norte,2015,Profissionais de Saúde,Assistente Social,Total,2355.0
155,1.0,Norte,2015,Profissionais de Saúde,Bioquímico/farmacêutico,Total,1813.0
156,1.0,Norte,2015,Profissionais de Saúde,Cirurgião Geral,Total,520.0
157,1.0,Norte,2015,Profissionais de Saúde,Clínico Geral,Total,5162.0
158,1.0,Norte,2015,Profissionais de Saúde,Enfermeiro,Total,13519.0
159,1.0,Norte,2015,Profissionais de Saúde,Fisioterapeuta,Total,3164.0
160,1.0,Norte,2015,Profissionais de Saúde,Fonoaudiólogo,Total,897.0
161,1.0,Norte,2015,Profissionais de Saúde,Gineco Obstetra,Total,866.0
162,1.0,Norte,2015,Profissionais de Saúde,Médico de Família,Total,2572.0
163,1.0,Norte,2015,Profissionais de Saúde,Nutricionista,Total,1249.0
164,1.0,Norte,2015,Profissionais de Saúde,Odontólogo,Total,6454.0
165,1.0,Norte,2015,Profissionais de Saúde,Outras especialidades médicas,Total,4739.0
166,1.0,Norte,2015,Profissionais de Saúde,Outras ocupações de nível superior relac à Saúde,Total,2217.0
167,1.0,Norte,2015,Profissionais de Saúde,Pediatra,Total,1736.0
168,1.0,Norte,2015,Profissionais de Saúde,Psicólogo,Total,2100.0
169,1.0,Norte,2015,Profissionais de Saúde,Psiquiatra,Total,144.0
170,1.0,Norte,2015,Profissionais de Saúde,Radiologista,Total,376.0
171,1.0,Norte,2015,Profissionais de Saúde,Sanitarista,Total,8.0
172,1.0,Norte,2016,Profissionais de Saúde,Anestesista,Total,0.0
173,1.0,Norte,2016,Profissionais de Saúde,Assistente Social,Total,2517.0
174,1.0,Norte,2016,Profissionais de Saúde,Bioquímico/farmacêutico,Total,1966.0
175,1.0,Norte,2016,Profissionais de Saúde,Cirurgião Geral,Total,531.0
176,1.0,Norte,2016,Profissionais de Saúde,Clínico Geral,Total,5350.0
177,1.0,Norte,2016,Profissionais de Saúde,Enfermeiro,Total,14416.0
178,1.0,Norte,2016,Profissionais de Saúde,Fisioterapeuta,Total,3363.0
179,1.0,Norte,2016,Profissionais de Saúde,Fonoaudiólogo,Total,939.0
180,1.0,Norte,2016,Profissionais de Saúde,Gineco Obstetra,Total,906.0
181,1.0,Norte,2016,Profissionais de Saúde,Médico de Família,Total,2659.0
182,1.0,Norte,2016,Profissionais de Saúde,Nutricionista,Total,1366.0
183,1.0,Norte,2016,Profissionais de Saúde,Odontólogo,Total,6725.0
184,1.0,Norte,2016,Profissionais de Saúde,Outras especialidades médicas,Total,5006.0
185,1.0,Norte,2016,Profissionais de Saúde,Outras ocupações de nível superior relac à Saúde,Total,2297.0
186,1.0,Norte,2016,Profissionais de Saúde,Pediatra,Total,1787.0
187,1.0,Norte,2016,Profissionais de Saúde,Psicólogo,Total,2268.0
188,1.0,Norte,2016,Profissionais de Saúde,Psiquiatra,Total,152.0
189,1.0,Norte,2016,Profissionais de Saúde,Radiologista,Total,413.0
190,1.0,Norte,2016,Profissionais de Saúde,Sanitarista,Total,7.0
191,1.0,Norte,2017,Profissionais de Saúde,Anestesista,Total,0.0
192,1.0,Norte,2017,Profissionais de Saúde,Assistente Social,Total,2718.0
193,1.0,Norte,2017,Profissionais de Saúde,Bioquímico/farmacêutico,Total,2152.0
194,1.0,Norte,2017,Profissionais de Saúde,Cirurgião Geral,Total,556.0
195,1.0,Norte,2017,Profissionais de Saúde,Clínico Geral,Total,5620.0
196,1.0,Norte,2017,Profissionais de Saúde,Enfermeiro,Total,15790.0
197,1.0,Norte,2017,Profissionais de Saúde,Fisioterapeuta,Total,3531.0
198,1.0,Norte,2017,Profissionais de Saúde,Fonoaudiólogo,Total,994.0
199,1.0,Norte,2017,Profissionais de Saúde,Gineco Obstetra,Total,951.0
200,1.0,Norte,2017,Profissionais de Saúde,Médico de Família,Total,2682.0
201,1.0,Norte,2017,Profissionais de Saúde,Nutricionista,Total,1480.0
202,1.0,Norte,2017,Profissionais de Saúde,Odontólogo,Total,7051.0
203,1.0,Norte,2017,Profissionais de Saúde,Outras especialidades médicas,Total,5292.0
204,1.0,Norte,2017,Profissionais de Saúde,Outras ocupações de nível superior relac à Saúde,Total,2449.0
205,1.0,Norte,2017,Profissionais de Saúde,Pediatra,Total,1808.0
206,1.0,Norte,2017,Profissionais de Saúde,Psicólogo,Total,2452.0
207,1.0,Norte,2017,Profissionais de Saúde,Psiquiatra,Total,154.0
208,1.0,Norte,2017,Profissionais de Saúde,Radiologista,Total,426.0
209,1.0,Norte,2017,Profissionais de Saúde,Sanitarista,Total,5.0
210,1.0,Norte,2018,Profissionais de Saúde,Anestesista,Total,0.0
211,1.0,Norte,2018,Profissionais de Saúde,Assistente Social,Total,2988.0
212,1.0,Norte,2018,Profissionais de Saúde,Bioquímico/farmacêutico,Total,2419.0
213,1.0,Norte,2018,Profissionais de Saúde,Cirurgião Geral,Total,600.0
214,1.0,Norte,2018,Profissionais de Saúde,Clínico Geral,Total,5819.0
215,1.0,Norte,2018,Profissionais de Saúde,Enfermeiro,Total,17338.0
216,1.0,Norte,2018,Profissionais de Saúde,Fisioterapeuta,Total,3962.0
217,1.0,Norte,2018,Profissionais de Saúde,Fonoaudiólogo,Total,1116.0
218,1.0,Norte,2018,Profissionais de Saúde,Gineco Obstetra,Total,980.0
219,1.0,Norte,2018,Profissionais de Saúde,Médico de Família,Total,2331.0
220,1.0,Norte,2018,Profissionais de Saúde,Nutricionista,Total,1628.0
221,1.0,Norte,2018,Profissionais de Saúde,Odontólogo,Total,7648.0
222,1.0,Norte,2018,Profissionais de Saúde,Outras especialidades médicas,Total,5580.0
223,1.0,Norte,2018,Profissionais de Saúde,Outras ocupações de nível superior relac à Saúde,Total,2798.0
224,1.0,Norte,2018,Profissionais de Saúde,Pediatra,Total,1860.0
225,1.0,Norte,2018,Profissionais de Saúde,Psicólogo,Total,2792.0
226,1.0,Norte,2018,Profissionais de Saúde,Psiquiatra,Total,155.0
227,1.0,Norte,2018,Profissionais de Saúde,Radiologista,Total,452.0
228,1.0,Norte,2018,Profissionais de Saúde,Sanitarista,Total,3.0
229,1.0,Norte,2019,Profissionais de Saúde,Anestesista,Total,0.0
230,1.0,Norte,2019,Profissionais de Saúde,Assistente Social,Total,3069.0
231,1.0,Norte,2019,Profissionais de Saúde,Bioquímico/farmacêutico,Total,2656.0
232,1.0,Norte,2019,Profissionais de Saúde,Cirurgião Geral,Total,641.0
233,1.0,Norte,2019,Profissionais de Saúde,Clínico Geral,Total,6253.0
234,1.0,Norte,2019,Profissionais de Saúde,Enfermeiro,Total,18222.0
235,1.0,Norte,2019,Profissionais de Saúde,Fisioterapeuta,Total,4121.0
236,1.0,Norte,2019,Profissionais de Saúde,Fonoaudiólogo,Total,1129.0
237,1.0,Norte,2019,Profissionais de Saúde,Gineco Obstetra,Total,998.0
238,1.0,Norte,2019,Profissionais de Saúde,Médico de Família,Total,2470.0
239,1.0,Norte,2019,Profissionais de Saúde,Nutricionista,Total,1703.0
240,1.0,Norte,2019,Profissionais de Saúde,Odontólogo,Total,8003.0
241,1.0,Norte,2019,Profissionais de Saúde,Outras especialidades médicas,Total,5663.0
242,1.0,Norte,2019,Profissionais de Saúde,Outras ocupações de nível superior relac à Saúde,Total,2938.0
243,1.0,Norte,2019,Profissionais de Saúde,Pediatra,Total,1968.0
244,1.0,Norte,2019,Profissionais de Saúde,Psicólogo,Total,3050.0
245,1.0,Norte,2019,Profissionais de Saúde,Psiquiatra,Total,179.0
246,1.0,Norte,2019,Profissionais de Saúde,Radiologista,Total,489.0
247,1.0,Norte,2019,Profissionais de Saúde,Sanitarista,Total,5.0
248,1.0,Norte,2020,Profissionais de Saúde,Anestesista,Total,0.0
249,1.0,Norte,2020,Profissionais de Saúde,Assistente Social,Total,3266.0
250,1.0,Norte,2020,Profissionais de Saúde,Bioquímico/farmacêutico,Total,3070.0
251,1.0,Norte,2020,Profissionais de Saúde,Cirurgião Geral,Total,641.0
252,1.0,Norte,2020,Profissionais de Saúde,Clínico Geral,Total,7269.0
253,1.0,Norte,2020,Profissionais de Saúde,Enfermeiro,Total,21718.0
254,1.0,Norte,2020,Profissionais de Saúde,Fisioterapeuta,Total,4717.0
255,1.0,Norte,2020,Profissionais de Saúde,Fonoaudiólogo,Total,1190.0
256,1.0,Norte,2020,Profissionais de Saúde,Gineco Obstetra,Total,997.0
257,1.0,Norte,2020,Profissionais de Saúde,Médico de Família,Total,2440.0
258,1.0,Norte,2020,Profissionais de Saúde,Nutricionista,Total,1815.0
259,1.0,Norte,2020,Profissionais de Saúde,Odontólogo,Total,7902.0
260,1.0,Norte,2020,Profissionais de Saúde,Outras especialidades médicas,Total,5832.0
261,1.0,Norte,2020,Profissionais de Saúde,Outras ocupações de nível superior relac à Saúde,Total,3192.0
262,1.0,Norte,2020,Profissionais de Saúde,Pediatra,Total,1973.0
263,1.0,Norte,2020,Profissionais de Saúde,Psicólogo,Total,3129.0
264,1.0,Norte,2020,Profissionais de Saúde,Psiquiatra,Total,193.0
265,1.0,Norte,2020,Profissionais de Saúde,Radiologista,Total,535.0
266,1.0,Norte,2020,Profissionais de Saúde,Sanitarista,Total,5.0
267,1.0,Norte,2021,Profissionais de Saúde,Anestesista,Total,0.0
268,1.0,Norte,2021,Profissionais de Saúde,Assistente Social,Total,3556.0
269,1.0,Norte,2021,Profissionais de Saúde,Bioquímico/farmacêutico,Total,3676.0
270,1.0,Norte,2021,Profissionais de Saúde,Cirurgião Geral,Total,640.0
271,1.0,Norte,2021,Profissionais de Saúde,Clínico Geral,Total,7831.0
272,1.0,Norte,2021,Profissionais de Saúde,Enfermeiro,Total,23990.0
273,1.0,Norte,2021,Profissionais de Saúde,Fisioterapeuta,Total,5557.0
274,1.0,Norte,2021,Profissionais de Saúde,Fonoaudiólogo,Total,1302.0
275,1.0,Norte,2021,Profissionais de Saúde,Gineco Obstetra,Total,1012.0
276,1.0,Norte,2021,Profissionais de Saúde,Médico de Família,Total,2634.0
277,1.0,Norte,2021,Profissionais de Saúde,Nutricionista,Total,2054.0
278,1.0,Norte,2021,Profissionais de Saúde,Odontólogo,Total,8538.0
279,1.0,Norte,2021,Profissionais de Saúde,Outras especialidades médicas,Total,6264.0
280,1.0,Norte,2021,Profissionais de Saúde,Outras ocupações de nível superior relac à Saúde,Total,3553.0
281,1.0,Norte,2021,Profissionais de Saúde,Pediatra,Total,1918.0
282,1.0,Norte,2021,Profissionais de Saúde,Psicólogo,Total,3571.0
283,1.0,Norte,2021,Profissionais de Saúde,Psiquiatra,Total,203.0
284,1.0,Norte,2021,Profissionais de Saúde,Radiologista,Total,531.0
285,1.0,Norte,2021,Profissionais de Saúde,Sanitarista,Total,5.0
286,1.0,Norte,2022,Profissionais de Saúde,Anestesista,Total,0.0
287,1.0,Norte,2022,Profissionais de Saúde,Assistente Social,Total,3806.0
288,1.0,Norte,2022,Profissionais de Saúde,Bioquímico/farmacêutico,Total,4127.0
289,1.0,Norte,2022,Profissionais de Saúde,Cirurgião Geral,Total,678.0
290,1.0,Norte,2022,Profissionais de Saúde,Clínico Geral,Total,8543.0
291,1.0,Norte,2022,Profissionais de Saúde,Enfermeiro,Total,25255.0
292,1.0,Norte,2022,Profissionais de Saúde,Fisioterapeuta,Total,6116.0
293,1.0,Norte,2022,Profissionais de Saúde,Fonoaudiólogo,Total,1396.0
294,1.0,Norte,2022,Profissionais de Saúde,Gineco Obstetra,Total,1097.0
295,1.0,Norte,2022,Profissionais de Saúde,Médico de Família,Total,2478.0
296,1.0,Norte,2022,Profissionais de Saúde,Nutricionista,Total,2284.0
297,1.0,Norte,2022,Profissionais de Saúde,Odontólogo,Total,8944.0
298,1.0,Norte,2022,Profissionais de Saúde,Outras especialidades médicas,Total,6682.0
299,1.0,Norte,2022,Profissionais de Saúde,Outras ocupações de nível superior relac à Saúde,Total,3946.0
300,1.0,Norte,2022,Profissionais de Saúde,Pediatra,Total,2049.0
301,1.0,Norte,2022,Profissionais de Saúde,Psicólogo,Total,4022.0
302,1.0,Norte,2022,Profissionais de Saúde,Psiquiatra,Total,230.0
303,1.0,Norte,2022,Profissionais de Saúde,Radiologista,Total,577.0
304,1.0,Norte,2022,Profissionais de Saúde,Sanitarista,Total,5.0
305,2.0,Nordeste,2007,Profissionais de Saúde,Anestesista,Total,2268.0
306,2.0,Nordeste,2007,Profissionais de Saúde,Assistente Social,Total,3875.0
307,2.0,Nordeste,2007,Profissionais de Saúde,Bioquímico/farmacêutico,Total,6029.0
308,2.0,Nordeste,2007,Profissionais de Saúde,Cirurgião Geral,Total,3645.0
309,2.0,Nordeste,2007,Profissionais de Saúde,Clínico Geral,Total,12823.0
310,2.0,Nordeste,2007,Profissionais de Saúde,Enfermeiro,Total,24290.0
311,2.0,Nordeste,2007,Profissionais de Saúde,Fisioterapeuta,Total,5080.0
312,2.0,Nordeste,2007,Profissionais de Saúde,Fonoaudiólogo,Total,1518.0
313,2.0,Nordeste,2007,Profissionais de Saúde,Gineco Obstetra,Total,2321.0
314,2.0,Nordeste,2007,Profissionais de Saúde,Médico de Família,Total,6462.0
315,2.0,Nordeste,2007,Profissionais de Saúde,Nutricionista,Total,2223.0
316,2.0,Nordeste,2007,Profissionais de Saúde,Odontólogo,Total,17462.0
317,2.0,Nordeste,2007,Profissionais de Saúde,Outras especialidades médicas,Total,12606.0
318,2.0,Nordeste,2007,Profissionais de Saúde,Outras ocupações de nível superior relac à Saúde,Total,3387.0
319,2.0,Nordeste,2007,Profissionais de Saúde,Pediatra,Total,2636.0
320,2.0,Nordeste,2007,Profissionais de Saúde,Psicólogo,Total,3698.0
321,2.0,Nordeste,2007,Profissionais de Saúde,Psiquiatra,Total,719.0
322,2.0,Nordeste,2007,Profissionais de Saúde,Radiologista,Total,1599.0
323,2.0,Nordeste,2007,Profissionais de Saúde,Sanitarista,Total,48.0
324,2.0,Nordeste,2008,Profissionais de Saúde,Anestesista,Total,2793.0
325,2.0,Nordeste,2008,Profissionais de Saúde,Assistente Social,Total,4359.0
326,2.0,Nordeste,2008,Profissionais de Saúde,Bioquímico/farmacêutico,Total,6569.0
327,2.0,Nordeste,2008,Profissionais de Saúde,Cirurgião Geral,Total,4600.0
328,2.0,Nordeste,2008,Profissionais de Saúde,Clínico Geral,Total,13644.0
329,2.0,Nordeste,2008,Profissionais de Saúde,Enfermeiro,Total,26900.0
330,2.0,Nordeste,2008,Profissionais de Saúde,Fisioterapeuta,Total,6416.0
331,2.0,Nordeste,2008,Profissionais de Saúde,Fonoaudiólogo,Total,1871.0
332,2.0,Nordeste,2008,Profissionais de Saúde,Gineco Obstetra,Total,2349.0
333,2.0,Nordeste,2008,Profissionais de Saúde,Médico de Família,Total,6107.0
334,2.0,Nordeste,2008,Profissionais de Saúde,Nutricionista,Total,2612.0
335,2.0,Nordeste,2008,Profissionais de Saúde,Odontólogo,Total,18813.0
336,2.0,Nordeste,2008,Profissionais de Saúde,Outras especialidades médicas,Total,13309.0
337,2.0,Nordeste,2008,Profissionais de Saúde,Outras ocupações de nível superior relac à Saúde,Total,3988.0
338,2.0,Nordeste,2008,Profissionais de Saúde,Pediatra,Total,2938.0
339,2.0,Nordeste,2008,Profissionais de Saúde,Psicólogo,Total,4358.0
340,2.0,Nordeste,2008,Profissionais de Saúde,Psiquiatra,Total,780.0
